,Date,Team,Acquired,Relinquished,Notes
144,2000-11-22,Warriors,,Mookie Blaylock,stomach virus (DNP)
145,2000-11-24,Bucks,,Glenn Robinson,cold (DNP)
146,2000-11-24,Cavaliers,,J.R. Reid,patellar tendinitis in both knees (DNP)
147,2000-11-24,Clippers,,Earl Boykins,bruised right knee (DNP)
148,2000-11-24,Heat,,Don MacLean,recovering from surgery on right toe (DNP)
149,2000-11-24,Pacers,,Austin Croshere,sprained left ankle (DNP)
150,2000-11-24,Sonics,,Rashard Lewis,bruised left shin (DNP)
151,2000-11-24,Spurs,,Samaki Walker,flu (DNP)
152,2000-11-25,Bucks,,Glenn Robinson,flu (DNP)
153,2000-11-25,Clippers,,Earl Boykins,bruised right knee (DNP)
154,2000-11-25,Heat,,Don MacLean,recovering from surgery on right toe (DNP)
155,2000-11-25,Knicks,,Charlie Ward,sore right knee (DNP)
156,2000-11-25,Knicks,,Charlie Ward,arthroscopic surgery on right knee to remove loose cartilage (out 6-8 weeks) (date approximate)
157,2000-11-25,Magic,,Tracy McGrady,infected left hand (DNP)
158,2000-11-25,Mavericks,,Greg Buckner,sprained right foot (DNP)
159,2000-11-25,Sonics,,Rashard Lewis,bruised left shin (DNP)
160,2000-11-25,Suns,,Anfernee Hardaway,arthroscopic surgery on left knee to repair frayed cartilage (out 3-4 weeks)
161,2000-11-25,Warriors,,Chris Mullin,sore left knee (DNP)
162,2000-11-26,Bulls,,Marcus Fizer,sprained right ankle (DNP)
163,2000-11-26,Grizzlies,,Stromile Swift,sprained right ankle (DNP)
164,2000-11-27,Celtics,,Doug Overton,sprained right ankle (DTD)
165,2000-11-27,Clippers,,Earl Boykins,bruised right knee (DNP)
166,2000-11-27,Grizzlies,,Kevin Edwards,fractured left thumb (DNP)
167,2000-11-27,Grizzlies,,Stromile Swift,sprained right ankle (DNP)
168,2000-11-27,Kings,,Pete Carril,assistant coach underwent heart bypass surgery (date approximate)
169,2000-11-27,Magic,,Tracy McGrady,infected left hand (DNP)
170,2000-11-27,Rockets,,Jason Collier,surgery on right knee to repair torn cartilage (out 3-4 weeks) (date approximate)
171,2000-11-28,76ers,,Matt Geiger,right quadriceps tendinitis (DNP)
172,2000-11-28,Bulls,,Fred Hoiberg,sprained left ankle (DNP)
173,2000-11-28,Celtics,,Doug Overton,sprained right ankle (DNP)
174,2000-11-28,Heat,,Don MacLean,recovering from surgery on right toe (DNP)
175,2000-11-28,Mavericks,,Greg Buckner,sprained right foot (DNP)
176,2000-11-28,Nets,,Jim McIlvaine,gastro intestinal infection (DNP)
177,2000-11-28,Pistons,,Chucky Atkins,sprained left ankle (DTD)
178,2000-11-28,Pistons,,Jerome Williams,flu (DTD)
179,2000-11-28,Raptors,,Vince Carter,strained left calf (DNP)
180,2000-11-28,Rockets,,Jason Collier,recovering from right knee surgery (DNP)
181,2000-11-29,76ers,,Matt Geiger,right quadriceps tendinitis (DNP)
182,2000-11-29,Nets,,Jim McIlvaine,gastro intestinal infection (DNP)
183,2000-11-29,Pistons,,Chucky Atkins,sprained left ankle (DNP)
184,2000-11-29,Pistons,,Jerome Williams,flu (DNP)
185,2000-11-29,Raptors,,Vince Carter,strained left quadriceps (DNP)
186,2000-11-29,Suns,,Mario Elie,foot infection (DNP)
187,2000-11-29,Warriors,,Chris Mullin,sore left knee (DNP)
188,2000-11-30,Blazers,,Arvydas Sabonis,strained left knee (DNP)
189,2000-11-30,Bulls,,Fred Hoiberg,sprained left ankle (DNP)
190,2000-11-30,Mavericks,,Greg Buckner,sprained right foot (DNP)
191,2000-11-30,Mavericks,,Hubert Davis,strained left groin (DNP)
192,2000-11-30,Warriors,,Chris Mullin,sore left knee (DNP)
193,2000-12-01,Bulls,,Fred Hoiberg,sprained left ankle (DNP)
194,2000-12-01,Kings,,Nick Anderson,strained lower back (DNP)
195,2000-12-01,Magic,,Don Reid,stomach virus (DNP)
196,2000-12-01,Pistons,,Jerry Stackhouse,flu (DNP)
197,2000-12-01,Raptors,,Vince Carter,strained left quadriceps (DNP)
198,2000-12-01,Warriors,,Adonal Foyle,surgery on right ring finger to repair ligament damage
199,2000-12-02,76ers,,Tyrone Hill,right quadriceps tendinitis / sprained right ankle (P) (DNP)
200,2000-12-02,Blazers,,Arvydas Sabonis,sprained left knee (DNP)
201,2000-12-02,Cavaliers,,Brevin Knight,sprained left ankle (DNP)
202,2000-12-02,Magic,,Don Reid,stomach virus (DNP)
203,2000-12-02,Mavericks,,Greg Buckner,sprained right foot (DNP)
204,2000-12-02,Mavericks,,Hubert Davis,strained left groin (DNP)
205,2000-12-02,Rockets,,Jason Collier,recovering from right knee surgery (DNP)
206,2000-12-02,Sonics,,Vin Baker,right knee inflammation (DNP)
207,2000-12-02,Warriors,,Chris Mullin,sore left knee (DNP)
208,2000-12-03,Mavericks,,Eduardo Najera,sprained ankle (DNP)
209,2000-12-03,Mavericks,,Hubert Davis,strained left groin (DNP)
210,2000-12-03,Mavericks,,Steve Nash,strained right calf (DNP)
211,2000-12-03,Sonics,,Vin Baker,sore right knee (DNP)
212,2000-12-03,Warriors,,Chris Mills,sore right ankle (DNP)
213,2000-12-03,Warriors,,Chris Mullin,sore left knee (DNP)
214,2000-12-03,Wizards,,Mitch Richmond,sprained left knee (DNP)
215,2000-12-04,76ers,,Tyrone Hill,sprained right ankle (DNP)
216,2000-12-04,Jazz,,Donyell Marshall,sprained left knee (DNP)
217,2000-12-05,76ers,,Matt Geiger,right quadriceps tendinitis (DNP)
218,2000-12-05,Bucks,,Jerome Kersey,fractured left wrist (DNP)
219,2000-12-05,Bulls,,Elton Brand,hyperextended left knee (DNP)
220,2000-12-05,Bulls,,Fred Hoiberg,sprained left ankle (DNP)
221,2000-12-05,Bulls,,Ron Mercer,flu (DNP)
222,2000-12-05,Jazz,,Donyell Marshall,sprained left knee (DNP)
223,2000-12-05,Kings,,Hidayet Turkoglu,sprained left ankle (DNP)
224,2000-12-05,Mavericks,,Don Nelson,head coach & GM diagnosed with prostate cancer
225,2000-12-05,Mavericks,,Eduardo Najera,bruised right calf (DNP)
226,2000-12-05,Mavericks,,Steve Nash,bruised right calf / strained right groin (P) (DNP)
227,2000-12-05,Nets,,Stephon Marbury,sprained left ankle (DNP)
228,2000-12-05,Raptors,,Vince Carter,strained left quadriceps (DNP)
229,2000-12-05,Rockets,,Jason Collier,recovering from right knee surgery (DNP)
230,2000-12-05,Rockets,,Kenny Thomas,flu (DNP)
231,2000-12-05,Rockets,,Maurice Taylor,flu (DNP)
232,2000-12-06,76ers,,Eric Snow,stress fracture in right ankle (out 6-8 weeks)
233,2000-12-06,Blazers,,Arvydas Sabonis,strained left knee (DNP)
234,2000-12-06,Bucks,,Jerome Kersey,fractured left wrist (DNP)
235,2000-12-06,Bulls,,Elton Brand,hyperextended left knee (DNP)
236,2000-12-06,Bulls,,Fred Hoiberg,sprained left ankle (DNP)
237,2000-12-06,Cavaliers,,Brevin Knight,sore right knee (DNP)
238,2000-12-06,Mavericks,,Eduardo Najera,strained right groin (DNP)
239,2000-12-06,Nets,,Kendall Gill,right knee tendinitis (DNP)
240,2000-12-06,Nets,,Stephon Marbury,sprained left ankle (DNP)
241,2000-12-06,Pacers,,Jonathan Bender,sprained left ankle (DNP)
242,2000-12-06,Pacers,,Zan Tabak,strained neck (DNP)
243,2000-12-06,Pistons,,Jerome Williams,sprained right ankle (DNP)
244,2000-12-06,Raptors,,Vince Carter,strained left quadriceps (DNP)
245,2000-12-06,Warriors,,Chris Mills,right ankle inflammation (DNP)
246,2000-12-07,Bucks,,Jerome Kersey,fractured left wrist (DNP)
247,2000-12-08,76ers,,Eric Snow,stress fracture in right ankle (DNP)
248,2000-12-08,76ers,,Matt Geiger,right quadriceps tendinitis (DNP)
249,2000-12-08,76ers,,Tyrone Hill,sprained right ankle (DNP)
250,2000-12-08,Bulls,,Elton Brand,hyperextended left knee (DNP)
251,2000-12-08,Bulls,,Fred Hoiberg,sprained left ankle (DNP)
252,2000-12-08,Bulls,,Jake Voskuhl,tendinitis in left foot (DNP)
253,2000-12-08,Heat,,Don MacLean,recovering from surgery on right toe (DNP)
254,2000-12-08,Hornets,,Eddie Robinson,sprained right ankle (DNP)
255,2000-12-08,Kings,,Predrag Stojakovic,bruised right shoulder (DNP)
256,2000-12-08,Nets,,Kendall Gill,right knee tendinitis (DNP)
257,2000-12-08,Nets,,Stephon Marbury,sprained left ankle (DNP)
258,2000-12-08,Rockets,,Carlos Rogers,strained right knee (DNP)
259,2000-12-08,Sonics,,Emanual Davis,sprained right ankle (DNP)
260,2000-12-08,Warriors,,Chris Mills,right ankle inflammation (DNP)
261,2000-12-08,Warriors,,Erick Dampier,left knee inflammation (DNP)
262,2000-12-08,Warriors,,Erick Dampier,surgery on left knee
263,2000-12-09,76ers,,Matt Geiger,sprained right ankle (DTD)
264,2000-12-09,76ers,,Tyrone Hill,right quadriceps tendinitis (DNP)
265,2000-12-09,Blazers,,Rasheed Wallace,sprained right wrist (DNP)
266,2000-12-09,Bulls,,Jake Voskuhl,tendinitis in left foot (DNP)
267,2000-12-09,Cavaliers,,Brevin Knight,sore right knee (DNP)
268,2000-12-09,Hornets,,Eddie Robinson,intestinal virus (DNP)
269,2000-12-09,Knicks,,Erick Strickland,bruised right leg (DNP)
270,2000-12-09,Sonics,,Emanual Davis,sprained right ankle (DNP)
271,2000-12-09,Warriors,,Chris Mills,right ankle inflammation (DNP)
272,2000-12-09,Warriors,,Erick Dampier,left knee inflammation (DNP)
273,2000-12-10,Heat,,Don MacLean,recovering from surgery on right toe (DNP)
274,2000-12-10,Kings,,Predrag Stojakovic,bruised right shoulder (DNP)
275,2000-12-10,Nets,,Kendall Gill,right knee tendinitis (DNP)
276,2000-12-10,Nets,,Stephon Marbury,sprained left ankle (DNP)
277,2000-12-10,Suns,,Tom Gugliotta,DNP
278,2000-12-11,76ers,,Matt Geiger,right quadriceps tendinitis (DNP)
279,2000-12-11,Bulls,,Jake Voskuhl,tendinitis in left foot (DNP)
280,2000-12-11,Grizzlies,,Isaac Austin,ill (DNP)
281,2000-12-11,Rockets,,Carlos Rogers,strained right knee (DNP)
282,2000-12-12,76ers,,Eric Snow,surgery on right ankle to insert screw and perform bone graft on fracture (out 6-8 weeks)
283,2000-12-12,Cavaliers,,Vernell Coles,arthroscopic surgery on left knee (out 4-6 weeks)
284,2000-12-12,Heat,,Don MacLean,recovering from surgery on right toe (DNP)
285,2000-12-12,Kings,,Predrag Stojakovic,bruised right shoulder (DNP)
286,2000-12-12,Nets,,Kendall Gill,right knee tendinitis (DNP)
287,2000-12-12,Nuggets,,Tariq Abdul-Wahad,flu (DNP)
288,2000-12-12,Warriors,,Bob Sura,strained left hamstring (DNP)
289,2000-12-12,Warriors,,Erick Dampier,left knee inflammation (DNP)
290,2000-12-13,Bulls,,Jake Voskuhl,tendinitis in left foot (DNP)
291,2000-12-13,Heat,,Don MacLean,recovering from surgery on right toe (DNP)
292,2000-12-13,Hornets,,Jamaal Magloire,sore left foot (DNP)
293,2000-12-13,Kings,,Bobby Jackson,bruised left quadriceps (DNP)
294,2000-12-13,Kings,,Predrag Stojakovic,bruised right shoulder (DNP)
295,2000-12-13,Suns,,Mario Elie,broken fifth metacarpal bone in left hand
296,2000-12-14,Nuggets,,Tariq Abdul-Wahad,flu (DNP)
297,2000-12-14,Rockets,,Carlos Rogers,strained left knee (DNP)
298,2000-12-14,Warriors,,Bob Sura,strained left hamstring (DNP)
299,2000-12-14,Warriors,,Erick Dampier,left knee inflammation (DNP)
300,2000-12-15,Cavaliers,,Robert Traylor,strained lower back
301,2000-12-15,Heat,,Don MacLean,recovering from surgery on right toe (DNP)
302,2000-12-15,Hornets,,Jamaal Magloire,sore left foot (DNP)
303,2000-12-15,Kings,,Predrag Stojakovic,bruised right shoulder (DNP)
304,2000-12-15,Knicks,,Larry Johnson,sprained MCL in right knee (DNP)
305,2000-12-15,Magic,,Grant Hill,left foot injury (DNP)
306,2000-12-15,Suns,,Mario Elie,broken left hand (DNP)
307,2000-12-15,Suns,,Tom Gugliotta,DNP
308,2000-12-16,76ers,,Matt Geiger,right quadriceps tendinitis (DNP)
309,2000-12-16,Cavaliers,,Robert Traylor,strained lower back (DNP)
310,2000-12-16,Heat,,Don MacLean,recovering from surgery on right toe (DNP)
311,2000-12-16,Hornets,,Eldridge Recasner,virus (DNP)
312,2000-12-16,Hornets,,Jamaal Magloire,sore left foot (DNP)
313,2000-12-16,Jazz,,Bryon Russell,strained left groin (DNP)
314,2000-12-16,Nuggets,,Tariq Abdul-Wahad,flu (DNP)
315,2000-12-16,Suns,,Mario Elie,broken left hand (DNP)
316,2000-12-16,Warriors,,Adonal Foyle,stress fracture in right tibia (DNP)
317,2000-12-16,Warriors,,Bob Sura,strained left hamstring (DNP)
318,2000-12-16,Warriors,,Erick Dampier,left knee inflammation (DNP)
319,2000-12-17,Kings,,Predrag Stojakovic,bruised right shoulder (DNP)
320,2000-12-17,Knicks,,Larry Johnson,sprained MCL in right knee (DNP)
321,2000-12-17,Magic,,Grant Hill,left ankle injury (DNP)
322,2000-12-18,Kings,,Predrag Stojakovic,bruised right shoulder (DNP)
323,2000-12-18,Lakers,,Devean George,sore throat (DNP)
324,2000-12-18,Rockets,,Steve Francis,sprained right ankle (DNP)
325,2000-12-18,Warriors,,Adonal Foyle,stress fracture in right tibia (out 3 weeks)
326,2000-12-18,Warriors,,Erick Dampier,arthroscopic surgery on left knee (out 6-8 weeks) (date approximate)
327,2000-12-19,Heat,,Don MacLean,recovering from surgery on right toe (DNP)
328,2000-12-19,Kings,,Predrag Stojakovic,bruised right shoulder (DNP)
329,2000-12-19,Knicks,,Larry Johnson,sprained MCL in right knee (DNP)
330,2000-12-19,Raptors,,Morris Peterson,sprained right ankle (DNP)
331,2000-12-19,Rockets,,Steve Francis,sprained right ankle (DNP)
332,2000-12-19,Suns,,Jason Kidd,sore lower back & left knee (DNP)
333,2000-12-19,Warriors,,Adonal Foyle,stress fracture in right tibia (DNP)
334,2000-12-19,Warriors,,Erick Dampier,recovering from left knee surgery (DNP)
335,2000-12-20,Cavaliers,,Wesley Person,bruised ulnar nerve in right elbow (DNP)
336,2000-12-20,Grizzlies,,Grant Long,right thumb injury (DNP)
337,2000-12-20,Kings,,Scot Pollard,sprained right ankle (DNP)
338,2000-12-20,Raptors,,Morris Peterson,sprained right ankle (DNP)
339,2000-12-20,Sonics,,Emanual Davis,sprained right knee (DNP)
340,2000-12-21,Magic,,Charles Outlaw,sprained right ankle (DNP)
341,2000-12-21,Magic,,Grant Hill,left ankle injury (DNP)
342,2000-12-22,76ers,,Allen Iverson,partially dislocated right shoulder (left game) (out 2-4 weeks)
343,2000-12-22,76ers,,Matt Geiger,sore right knee (DNP)
344,2000-12-22,Cavaliers,,Wesley Person,bruised ulnar nerve in right elbow (DNP)
345,2000-12-22,Grizzlies,,Grant Long,right thumb injury (DNP)
346,2000-12-22,Hawks,,Dion Glover,back spasms (DNP)
347,2000-12-22,Heat,,Don MacLean,recovering from surgery on right toe (DNP)
348,2000-12-22,Kings,,Scot Pollard,sprained right ankle (DNP)
349,2000-12-22,Knicks,,Marcus Camby,strained left groin (DNP)
350,2000-12-22,Sonics,,Jelani McCoy,sprained left knee (DNP)
351,2000-12-22,Warriors,,Adonal Foyle,stress fracture in right tibia (DNP)
352,2000-12-22,Warriors,,Erick Dampier,recovering from left knee surgery (DNP)
353,2000-12-22,Wizards,,Richard Hamilton,strained left Achilles tendon
354,2000-12-23,Cavaliers,,Zydrunas Ilgauskas,sore left foot (DNP)
355,2000-12-23,Grizzlies,,Grant Long,right thumb injury (DNP)
356,2000-12-23,Heat,,Don MacLean,recovering from surgery on right toe (DNP)
357,2000-12-23,Kings,,Scot Pollard,sprained right ankle (DNP)
358,2000-12-23,Magic,,Grant Hill,left ankle injury (DNP)
359,2000-12-23,Rockets,,Cuttino Mobley,hyperextended left elbow (DNP)
360,2000-12-23,Rockets,,Steve Francis,sprained right ankle (DNP)
361,2000-12-23,Sonics,,Jelani McCoy,sprained left knee (DNP)
362,2000-12-23,Warriors,,Adam Keefe,fractured nose (DNP)
363,2000-12-23,Warriors,,Adonal Foyle,stress fracture in right tibia (DNP)
364,2000-12-23,Warriors,,Erick Dampier,recovering from left knee surgery (DNP)
365,2000-12-23,Wizards,,Jahidi White,sprained left knee (DNP)
366,2000-12-23,Wizards,,Richard Hamilton,sprained left ankle (DNP)
367,2000-12-25,Cavaliers,,Zydrunas Ilgauskas,stress fracture in left foot (out indefinitely)
368,2000-12-25,Magic,,Grant Hill,left ankle injury (DNP)
369,2000-12-26,76ers,,Allen Iverson,dislocated right shoulder (DNP)
370,2000-12-26,76ers,,Matt Geiger,sore right knee (DNP)
371,2000-12-26,Celtics,,Randy Brown,sprained right ankle (DNP)
372,2000-12-26,Hornets,,Jamaal Magloire,sore left foot (DNP)
373,2000-12-26,Magic,,Grant Hill,left ankle injury (DNP)
